geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
umls:C1859049	CCHS WITH HIRSCHSPRUNG DISEASE	http://www.disgenet.org/web/DisGeNET/menu/umls:C1859049	5	2	0.0299783135604031	66.7148936170213	0.000347852149495731	0.231823293295482	429;8929	ASCL1;PHOX2B
umls:C1275808	Congenital central hypoventilation	http://www.disgenet.org/web/DisGeNET/menu/umls:C1275808	6	2	0.0359739762724837	55.5957446808511	0.000519783168823951	0.231823293295482	429;8929	ASCL1;PHOX2B
umls:C0039685	Tetralogy of Fallot	http://www.disgenet.org/web/DisGeNET/menu/umls:C0039685	17	2	0.101926266105371	19.622027534418	0.00451867935484318	1	2627;9464	GATA6;HAND2
umls:C0003873	Rheumatoid Arthritis	http://www.disgenet.org/web/DisGeNET/menu/umls:C0003873	214	5	1.28307182038525	3.89689799164844	0.00874130533179729	1	3237;5453;8320;860;9355	HOXD11;POU3F1;EOMES;RUNX2;LHX2
umls:C0005941	Bone Diseases, Developmental	http://www.disgenet.org/web/DisGeNET/menu/umls:C0005941	24	2	0.143895905089935	13.8989361702128	0.00892902358585301	1	3237;7547	HOXD11;ZIC3
umls:C0151744	Myocardial Ischemia	http://www.disgenet.org/web/DisGeNET/menu/umls:C0151744	170	4	1.01926266105371	3.9244055068836	0.0184563666708433	1	1959;2006;54738;7091	EGR2;ELN;FEV;TLE4
umls:C0019284	Diaphragmatic Hernia	http://www.disgenet.org/web/DisGeNET/menu/umls:C0019284	40	2	0.239826508483225	8.33936170212766	0.0237491702648246	1	2006;2627	ELN;GATA6
umls:C0027819	Neuroblastoma	http://www.disgenet.org/web/DisGeNET/menu/umls:C0027819	44	2	0.263809159331547	7.58123791102515	0.0283717838506183	1	57492;8929	ARID1B;PHOX2B
umls:C0036095	Salivary Gland Neoplasms	http://www.disgenet.org/web/DisGeNET/menu/umls:C0036095	44	2	0.263809159331547	7.58123791102515	0.0283717838506183	1	2019;5587	EN1;PRKD1
umls:C0011195	Dejerine-Sottas Disease (disorder)	http://www.disgenet.org/web/DisGeNET/menu/umls:C0011195	5	1	0.0299783135604031	33.3574468085106	0.029628452267266	1	1959	EGR2
