geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
umls:C0087012	Ataxia, Spinocerebellar	http://www.disgenet.org/web/DisGeNET/menu/umls:C0087012	15	4	0.0727133562954458	55.0105263157895	6.16833665256777e-07	0.000550215629409045	6310;6311;6314;773	ATXN1;ATXN2;ATXN7;CACNA1A
umls:C3160718	PARKINSON DISEASE, LATE-ONSET	http://www.disgenet.org/web/DisGeNET/menu/umls:C3160718	17	3	0.082408470468172	36.4040247678019	6.82016972146648e-05	0.0304179569577405	4287;6311;6908	ATXN3;ATXN2;TBP
umls:C0010606	Adenoid Cystic Carcinoma	http://www.disgenet.org/web/DisGeNET/menu/umls:C0010606	99	5	0.479908151549943	10.4186602870813	0.000104698137832759	0.0311302463156071	1387;55534;6595;9223;93986	CREBBP;MAML3;SMARCA2;MAGI1;FOXP2
umls:C0010701	Phyllodes Tumor	http://www.disgenet.org/web/DisGeNET/menu/umls:C0010701	5	2	0.0242377854318153	82.5157894736842	0.000226738090323253	0.0505625941420854	8085;9968	KMT2D;MED12
umls:C0265338	Coffin-Siris syndrome	http://www.disgenet.org/web/DisGeNET/menu/umls:C0265338	7	2	0.0339328996045414	58.9398496240602	0.000473241075143349	0.0844262078055735	57492;6595	ARID1B;SMARCA2
umls:C0021364	Male infertility	http://www.disgenet.org/web/DisGeNET/menu/umls:C0021364	45	3	0.218140068886338	13.7526315789474	0.00129600257964402	0.192672383507077	367;5428;8085	AR;POLG;KMT2D
umls:C0848558	Hypospadias	http://www.disgenet.org/web/DisGeNET/menu/umls:C0848558	17	2	0.082408470468172	24.2693498452012	0.0029724777057395	0.378778587645661	10046;463	MAMLD1;ZFHX3
umls:C0024301	Lymphoma, Follicular	http://www.disgenet.org/web/DisGeNET/menu/umls:C0024301	21	2	0.101798698813624	19.6466165413534	0.00453415711617811	0.505558518453859	1387;8085	CREBBP;KMT2D
umls:C0004114	Astrocytoma	http://www.disgenet.org/web/DisGeNET/menu/umls:C0004114	24	2	0.116341370072713	17.1907894736842	0.0059049152494357	0.560420016853526	367;8202	AR;NCOA3
umls:C0004238	Atrial Fibrillation	http://www.disgenet.org/web/DisGeNET/menu/umls:C0004238	26	2	0.126036484245439	15.8684210526316	0.00691100917644483	0.560420016853526	3782;463	KCNN3;ZFHX3
